Film_title,Watches,Likes,Fans
Barbie,5195503,2140382,25000
Fight Club,5059722,2325525,157000
Interstellar,5044987,2417030,326000
Parasite,5015041,2730813,121000
Joker,4952400,1930493,28000
The Dark Knight,4488171,1986315,110000
Spider-Man: Into the Spider-Verse,4446217,2210461,90000
La La Land,4393174,1979547,285000
Pulp Fiction,4386659,1907834,100000
The Truman Show,4382819,1777004,71000
Get Out,4376009,1867622,33000
Inception,4326850,1723554,79000
Ratatouille,4261300,1463500,46000
Forrest Gump,4222068,1470800,70000
The Wolf of Wall Street,4155986,1430751,34000
