Film_title,Recommended_Film,Similarity_Score
The Fan,David Bowie & The Story of Ziggy Stardust,0.18487603040455625
The Fan,Spice World,0.16597209232531884
The Fan,Privilege,0.16028880660608297
The Fan,Hells Angels on Wheels,0.14575745528438044
The Fan,Love Affair,0.13743759168206873
Mad Max: Fury Road,Rakka,0.17878392092088102
Mad Max: Fury Road,Day Watch,0.16379389683547735
Mad Max: Fury Road,Undisputed II: Last Man Standing,0.16271678046618449
Mad Max: Fury Road,Dick Tracy Returns,0.16240169455069134
Mad Max: Fury Road,Original Gangstas,0.1574889158559432
Suspiria,Night of the Demon,0.21816709761845413
Suspiria,The Butcher,0.2103254543396309
Suspiria,The Murders in the Rue Morgue,0.18263265772709153
Suspiria,Wolfen,0.1803218096637771
Suspiria,The Blackcoat's Daughter,0.17511845400578888
Lost in Translation,The Cameraman,0.21227205367220273
Lost in Translation,Doomed Megalopolis,0.208340396585237
Lost in Translation,The Mirror Crack'd,0.20237888888721225
Lost in Translation,Life,0.1676741038552605
Lost in Translation,Il prigioniero,0.16684101274824897
Akira,Torque,0.32986316479993116
Akira,Black Angels,0.27828604531325113
Akira,Angels from Hell,0.2530057945339321
Akira,Nightmare Beach,0.24000132062052065
Akira,West Side Story,0.19749460973441235
Things to Come,Love and Other Catastrophes,0.2637391059682953
Things to Come,Father's Little Dividend,0.2098053324726507
Things to Come,La Notte,0.1782001350571177
Things to Come,Malice,0.1678531634474285
Things to Come,"Spring, Again",0.16234550331811387
Big Trouble in Little China,Sticky Notes,0.16850367634215535
Big Trouble in Little China,Shanghai Noon,0.16102356625190864
Big Trouble in Little China,Do You Hear She Sings?,0.14830554017593298
Big Trouble in Little China,The Flight of Dragons,0.14592610308402754
Big Trouble in Little China,Go!,0.1442384324024532
Star Wars,The Empire Strikes Back,0.30436384062366356
Star Wars,The Swan Princess,0.21311072727808766
Star Wars,The Thief of Bagdad,0.21229487039024
Star Wars,The Princess Bride,0.1778476047784714
Star Wars,Arbitrage,0.17456549696150758
The Third Man,Let's Get Harry,0.2153664805293454
The Third Man,Night and the City,0.2085263441100219
The Third Man,A Sky Full of Stars for a Roof,0.1929953170784553
The Third Man,Harry Potter and the Deathly Hallows: Part 1,0.1856743479573335
The Third Man,Conspiracy Theory,0.15413551546749488
The Big Sick,Blackbeard's Ghost,0.2584279604484844
The Big Sick,A Quiet Passion,0.22960542159921918
